kd_kepsek_an;kd_sekolah;pendidikan_sederajat;jenis_sek;sts_sek;kurikulum;daerah_khusus;kd_kokab;wilayah_bagian;jenis_wilayah;status_wilayah;proporsi_pendidik_min_s1;proporsi_pendidik_sertifikasi;jumlah_peserta_didik;jumlah_pendidik;rasio_pendidik_peserta_didik;jumlah_r_kelas;ketersediaan_internet;ketersediaan_listrik;jumlah_komp_milik;jumlah_perpus;jumlah_rombel;jumlah_siswa_rombel;jumlah_siswa_penerima_PIP;rasio_siswa_penerima_PIP;SES_sekolah;APC;APK;BBS;BCP;COP;CSV;ENP;EQC;EQR;HWS;KKG;KPC;KPK;KSA;KSV;LCS;LFO;MIP;NAT;OPC;PBU;PCP;PGP;PIP;PKG;PMU;POT;PPK;PSA;PSV;PPC;RC;RKG;RPI;RSD;SBU;SCO;SKG;SMK_GRMAG;SMK_GTIN;SMK_INDS;SMK_KLAB;SMK_KOMITE;SMK_KPL;SMK_PBEL;SMK_PIM;SMK_PKL;SMK_PKUR;SMK-SARPRAS;SMK_TEFA;SSV;TOC;TOR
K8500033;8500033;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;190;Indonesia Barat;KOTA;URBAN;100,00;0,00;182;11;16,55;4;Ada;Ada;0;0;10;27;38;20,88;77,91;40,45;57,64;65,56;52,57;57,19;58,56;59,68;41,25;32,93;54,03;55,08;49,36;64,83;83,16;59,94;58,13;51,31;74,68;90,22;50,97;36,61;42,89;54,69;41,66;32,64;52,25;37,30;51,70;34,39;40,99;51,70;50,04;55,94;57,05;55,57;41,94;71,77;43,83;;;;;;;;;;;;;57,97;36,05;53,50
K8500006;8500006;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;272;Indonesia Barat;KOTA;URBAN;0,00;0,00;71;0;0,00;2;Ada;Ada;4;0;8;11;13;18,31;78,49;43,84;51,67;47,96;48,26;60,53;54,61;63,87;53,94;55,03;49,38;61,76;51,81;56,71;56,61;52,19;54,53;65,70;66,98;72,17;61,57;75,69;47,86;75,96;43,42;47,21;57,41;69,80;57,66;68,85;53,88;57,66;57,17;45,44;60,58;58,17;49,51;43,63;57,28;;;;;;;;;;;;;52,20;35,16;62,48
K8500007;8500007;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;062;Indonesia Barat;KOTA;URBAN;100,00;0,00;559;13;43,00;7;Ada;Ada;4;1;28;132;90;16,10;78,98;51,89;58,83;58,37;61,46;58,82;40,56;61,82;54,90;47,31;42,81;50,69;55,99;52,49;67,27;53,52;62,81;49,72;64,95;90,11;58,00;50,05;58,12;63,00;97,99;53,41;85,43;52,52;45,15;66,96;42,37;45,15;61,09;47,23;62,85;47,24;55,03;52,87;88,68;;;;;;;;;;;;;61,35;36,05;60,14
K8500008;8500008;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;104;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;580;2;290,00;2;Ada;Ada;0;0;26;245;215;37,07;75,21;43,94;47,73;45,06;38,29;62,41;24,41;50,76;57,79;64,30;66,25;21,13;31,76;52,49;46,06;40,67;67,11;69,53;72,14;69,02;61,37;63,68;67,75;68,62;63,79;46,80;69,73;72,63;65,78;87,82;72,90;65,78;54,94;43,57;68,81;51,96;42,39;48,05;42,98;;;;;;;;;;;;;75,98;33,18;37,70
K8500005;8500005;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;059;Indonesia Barat;KABUPATEN;RURAL;80,00;0,00;166;5;33,20;6;Ada;Ada;0;0;11;30;41;24,70;69,86;47,72;58,83;58,37;52,57;48,46;49,17;50,76;53,37;48,35;42,81;63,49;49,09;46,97;46,06;40,67;54,06;43,83;58,17;90,11;55,05;53,38;58,12;53,06;56,16;46,80;54,59;59,37;49,71;66,96;52,13;49,71;54,94;55,94;41,14;47,24;45,86;58,01;59,57;;;;;;;;;;;;;47,90;30,85;43,90
K8500089;8500089;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;228;Indonesia Barat;KABUPATEN;RURAL;75,00;0,00;506;8;63,25;18;Ada;Ada;3;1;17;95;214;42,29;71,96;52,28;51,67;82,94;64,37;97,77;54,61;69,85;96,06;86,31;99,17;71,73;59,62;51,52;70,04;99,90;84,14;65,70;100,00;72,17;76,04;69,30;65,19;95,19;91,03;71,38;100,00;79,98;52,69;93,27;76,78;52,69;67,23;93,97;97,96;86,16;68,03;64,07;85,70;;;;;;;;;;;;;82,83;100,00;59,61
K8500087;8500087;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;502;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;213;5;42,60;11;Ada;Ada;0;0;9;55;62;29,11;74,10;43,84;51,91;51,61;38,29;66,78;44,69;77,52;68,65;48,35;46,63;51,05;49,64;47,19;56,93;75,13;58,13;51,31;70,79;100,00;59,43;67,97;66,98;66,99;69,57;62,09;92,75;59,28;55,68;65,22;52,38;55,68;61,80;55,94;81,27;61,28;51,91;64,07;59,91;;;;;;;;;;;;;49,76;40,18;76,48
K8500090;8500090;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;218;Indonesia Barat;KABUPATEN;RURAL;92,31;0,00;297;13;22,85;23;Ada;Ada;3;0;22;71;82;27,61;63,44;40,45;52,86;58,37;52,57;51,80;49,17;48,26;49,23;48,35;30,01;63,49;43,38;52,49;46,06;64,42;41,02;43,83;55,04;78,37;55,05;53,38;58,12;48,82;42,50;41,43;45,01;11,63;49,71;43,00;26,35;49,71;49,51;51,30;44,75;42,83;55,03;38,50;48,94;;;;;;;;;;;;;30,87;28,79;59,07
K8600005;8600005;SMA/SMK/MA;PPS Ulya;S;;Tidak;328;Indonesia Barat;KABUPATEN;URBAN;;;;;;;;;;;;;;;68,15;51,89;58,83;50,64;41,94;70,03;49,17;73,24;56,63;42,98;42,81;50,69;49,09;52,49;46,06;46,28;50,00;52,80;58,17;59,35;57,29;63,68;58,12;57,78;42,50;46,80;59,50;49,44;61,14;53,06;52,13;61,14;54,94;52,12;50,71;57,57;55,03;52,87;59,57;;;;;;;;;;;;;61,35;33,18;45,15
K8500062;8500062;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;411;Indonesia Barat;KABUPATEN;RURAL;0,00;0,00;19;0;0,00;3;Ada;Ada;0;1;3;3;1;5,26;71,40;43,84;51,67;54,72;36,88;42,47;50,13;46,65;41,54;48,09;41,31;71,73;59,62;62,23;56,61;38,33;32,27;35,98;46,91;72,17;26,71;36,99;47,86;35,86;28,33;36,98;25,28;30,62;52,69;31,44;19,96;52,69;42,30;50,24;44,04;48,24;41,41;48,36;69,62;;;;;;;;;;;;;52,20;29,42;66,16
K8500049;8500049;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;054;Indonesia Barat;KABUPATEN;URBAN;100,00;0,00;88;12;7,33;4;Ada;Ada;1;0;7;25;8;9,09;86,62;43,84;51,91;58,37;28,74;52,48;58,56;56,56;53,37;48,35;38,57;64,32;49,64;39,07;56,93;45,87;54,30;48,88;56,99;78,59;46,08;67,97;71,95;54,69;62,70;46,80;62,56;69,29;55,68;65,22;52,38;55,68;48,00;55,94;56,58;45,54;51,91;34,70;50,04;;;;;;;;;;;;;62,04;33,18;56,46
K8500032;8500032;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;055;Indonesia Barat;KABUPATEN;URBAN;100,00;0,00;281;4;70,25;15;Ada;Ada;2;1;13;13;19;6,76;73,49;47,91;51,67;71,14;42,11;67,21;54,61;63,87;64,52;68,37;99,17;61,76;45,46;56,71;56,61;75,03;94,69;71,87;100,00;72,17;65,44;64,54;70,16;95,19;43,42;47,21;62,40;74,34;62,88;62,43;49,00;62,88;60,20;50,24;47,73;53,06;68,03;58,21;69,62;;;;;;;;;;;;;67,47;63,14;62,48
K8500048;8500048;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;432;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;211;4;52,75;3;Ada;Ada;1;1;8;38;26;12,32;84,30;43,84;27,92;38,52;52,57;59,93;53,47;63,07;45,19;36,57;54,03;64,32;49,64;52,60;46,48;34,05;58,13;84,77;63,67;69,35;56,37;60,06;49,65;60,88;33,45;28,72;52,25;59,28;68,60;52,83;52,38;68,60;52,18;51,30;35,89;32,30;51,91;53,18;50,04;;;;;;;;;;;;;49,76;25,11;65,80
K8500047;8500047;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;432;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;167;6;27,83;1;Ada;Ada;6;0;8;23;48;28,74;64,97;44,33;62,05;65,56;52,57;66,10;54,08;56,02;25,38;48,35;34,58;63,49;43,38;52,49;46,06;53,52;62,81;43,83;72,14;68,48;52,29;46,71;62,86;74,25;48,87;36,88;54,59;52,52;;38,77;23,59;;54,94;51,30;40,44;;55,03;71,46;59,57;;;;;;;;;;;;;30,87;26,73;52,06
K8500045;8500045;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;155;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;59;4;14,75;2;Ada;Ada;2;0;7;11;3;5,08;64,88;47,91;45,94;47,96;55,40;54,02;64,62;59,05;49,71;36,74;59,93;71,73;39,93;56,71;40,30;67,07;61,80;55,42;60,46;72,17;55,25;69,30;70,16;95,19;91,03;47,21;47,75;48,42;42,34;68,85;59,70;42,34;54,32;50,24;52,04;43,93;54,76;48,36;57,28;;;;;;;;;;;;;58,27;46,28;52,51
K8500046;8500046;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;155;Indonesia Barat;KABUPATEN;RURAL;80,00;0,00;137;5;27,40;4;Ada;Ada;2;1;7;20;33;24,09;67,11;51,89;72,55;45,06;46,35;74,49;44,69;56,02;68,65;80,16;78,64;50,69;55,99;52,49;55,54;79,31;81,64;78,79;72,14;100,00;65,24;81,60;87,96;74,25;83,65;36,88;85,43;87,43;65,78;79,59;72,90;65,78;57,88;66,78;83,86;57,17;60,91;71,46;59,57;;;;;;;;;;;;;57,39;58,74;69,30
K8500044;8500044;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;039;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;139;4;34,75;3;Tidak Ada;Ada;4;1;7;24;3;2,16;58,80;51,89;58,83;65,56;52,57;58,82;49,17;56,02;68,65;48,35;42,81;75,85;55,99;46,97;55,54;53,52;54,06;62,52;61,47;90,11;58,00;73,40;49,49;57,78;72,17;53,41;64,41;52,52;59,90;66,96;52,13;59,90;57,88;51,30;55,56;57,17;67,50;71,46;74,47;;;;;;;;;;;;;61,35;33,18;59,07
K8500036;8500036;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;366;Indonesia Barat;KOTA;URBAN;89,47;0,00;464;19;24,42;16;Ada;Ada;2;1;23;91;84;18,10;76,60;43,84;51,67;41,52;36,88;70,72;24,41;54,77;64,52;68,37;49,38;54,80;51,81;51,52;46,48;38,33;94,69;100,00;77,48;72,17;58,21;69,30;87,49;95,19;91,03;41,63;100,00;100,00;42,34;79,74;65,39;42,34;71,50;50,24;52,04;58,17;49,51;64,07;50,47;;;;;;;;;;;;;58,27;32,02;59,61
K8500038;8500038;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;384;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;146;10;14,60;9;Ada;Ada;0;0;10;12;21;14,38;73,77;47,72;58,83;73,71;41,94;58,82;49,17;65,03;57,79;71,40;78,64;63,49;49,09;58,98;67,27;53,52;62,81;65,89;68,42;90,11;98,57;94,19;58,12;68,62;97,99;89,98;98,07;63,22;49,71;79,59;67,65;49,71;57,88;51,30;55,56;46,04;67,50;52,87;59,57;;;;;;;;;;;;;70,06;40,18;59,07
K8500035;8500035;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;126;Indonesia Barat;KOTA;URBAN;100,00;0,00;72;7;10,29;4;Ada;Ada;5;0;6;28;8;11,11;80,46;67,41;59,19;71,14;55,40;60,53;50,13;63,87;64,52;68,37;78,39;71,73;59,62;46,54;56,61;59,63;84,14;71,87;89,08;52,61;65,44;100,00;87,49;95,19;91,03;61,88;100,00;100,00;68,77;100,00;65,39;68,77;60,20;61,48;68,42;53,06;100,00;100,00;50,47;;;;;;;;;;;;;67,47;35,16;54,76
K8500060;8500060;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;422;Indonesia Barat;KABUPATEN;RURAL;90,00;0,00;119;10;11,90;9;Ada;Ada;3;1;6;34;2;1,68;58,84;40,06;51,91;58,37;27,82;56,34;36,79;50,67;49,23;64,30;46,63;40,81;39,56;47,19;39,77;39,55;49,92;43,83;51,06;;56,37;56,63;58,35;72,94;62,70;32,64;67,79;54,32;51,70;58,80;52,38;51,70;50,04;43,57;50,71;45,54;51,91;30,90;38,89;;;;;;;;;;;;;66,83;33,18;50,00
K8500084;8500084;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;082;Indonesia Barat;KOTA;URBAN;100,00;0,00;420;14;30,00;7;Ada;Ada;3;1;16;63;29;6,90;77,82;52,28;87,23;62,23;64,37;79,45;54,61;66,64;58,75;86,31;78,39;71,73;51,81;62,23;56,61;85,53;77,19;65,70;98,98;72,17;65,44;60,53;65,19;63,81;54,48;47,21;62,40;66,04;68,77;68,85;65,39;68,77;67,23;55,70;76,72;69,61;49,51;100,00;85,70;;;;;;;;;;;;;74,61;39,37;72,26
K8500085;8500085;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;305;Indonesia Barat;KABUPATEN;RURAL;0,00;0,00;610;0;0,00;27;Ada;Ada;0;0;22;83;46;7,54;81,33;44,33;62,05;58,37;52,57;70,03;66,37;56,02;75,96;71,40;42,81;63,49;55,99;58,98;67,27;53,52;100,00;69,53;88,15;100,00;69,93;94,19;87,96;74,25;97,99;74,17;98,07;99,49;;98,86;79,91;;54,94;61,16;94,98;;55,03;52,87;88,68;;;;;;;;;;;;;65,22;58,74;50,27
K8500083;8500083;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;121;Indonesia Barat;KABUPATEN;URBAN;96,55;0,00;896;29;30,90;16;Ada;Ada;2;1;47;149;28;3,13;75,40;56,35;65,39;84,76;41,94;100,00;44,69;68,78;53,37;92,20;78,64;56,27;55,99;67,21;67,27;64,42;89,22;98,69;99,24;100,00;85,02;94,19;87,96;74,25;97,99;74,17;98,07;99,49;65,78;98,86;79,91;65,78;57,88;72,72;94,98;51,96;67,50;34,19;88,68;;;;;;;;;;;;;83,27;47,09;43,90
K8500053;8500053;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;229;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;326;3;108,67;5;Ada;Ada;5;0;11;63;48;14,72;63,83;47,91;69,21;45,06;60,80;63,36;53,47;63,07;68,65;48,35;46,63;75,39;49,64;52,60;69,83;75,13;64,92;69,44;56,99;78,59;86,44;73,40;42,19;72,94;77,12;46,80;81,56;69,29;64,13;62,35;52,38;64,13;67,85;55,94;50,71;61,28;51,91;58,21;59,91;;;;;;;;;;;;;62,04;58,74;65,80
K8500052;8500052;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;229;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;194;1;194,00;3;Ada;Ada;4;0;9;12;16;8,25;72,35;47,91;87,23;37,45;42,11;79,45;40,91;66,64;82,02;68,37;49,38;33,85;51,81;57,14;83,90;75,03;94,69;60,37;89,08;64,57;85,02;75,69;60,84;95,19;91,03;53,93;100,00;100,00;52,69;100,00;76,78;52,69;71,50;45,44;76,72;63,69;76,22;71,77;69,62;;;;;;;;;;;;;74,61;39,37;62,48
K8500054;8500054;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;198;Indonesia Barat;KABUPATEN;RURAL;0,00;0,00;115;2;57,50;2;Tidak Ada;Ada;0;1;9;40;7;6,09;69,48;47,91;51,67;71,14;42,11;54,02;50,13;59,05;53,94;55,03;59,93;71,73;51,81;46,54;56,61;75,03;50,08;48,22;60,46;72,17;65,44;53,77;70,16;50,61;54,48;47,21;67,39;66,04;57,66;47,46;65,39;57,66;51,74;50,24;49,69;53,06;54,76;58,21;69,62;;;;;;;;;;;;;58,27;35,16;57,09
K8500019;8500019;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;464;Indonesia Tengah;KABUPATEN;URBAN;57,14;0,00;267;14;19,07;9;Ada;Ada;2;1;10;53;25;9,36;83,95;36,57;38,66;45,06;44,52;33,82;53,47;28,90;45,19;26,78;22,94;40,81;29,85;38,20;34,65;52,80;25,00;0,00;34,04;40,43;11,72;30,41;30,38;28,69;21,37;20,56;3,95;0,34;51,70;28,19;20,53;51,70;45,95;43,57;35,89;41,42;30,01;34,70;39,92;;;;;;;;;;;;;25,59;22,42;40,75
K8500018;8500018;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;224;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;221;4;55,25;11;Tidak Ada;Ada;0;0;11;76;14;6,33;74,11;43,84;51,67;62,23;48,26;57,28;50,13;56,91;71,73;55,03;49,38;71,73;51,81;46,54;56,61;67,07;54,53;50,00;57,16;72,17;58,21;47,00;47,86;63,81;91,03;41,63;57,41;57,49;47,64;68,85;32,92;47,64;46,84;41,29;60,58;43,93;54,76;48,36;57,28;;;;;;;;;;;;;58,27;46,28;62,48
K8500018;8500018;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;224;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;221;4;55,25;11;Tidak Ada;Ada;0;0;11;76;14;6,33;74,11;47,72;;65,56;52,57;56,34;58,56;44,96;68,65;64,30;69,08;90,21;49,36;50,00;83,16;67,18;34,30;43,83;48,43;78,59;55,35;53,38;71,95;49,06;62,70;62,09;67,79;52,10;75,23;52,83;32,42;75,23;48,00;47,23;63,56;51,86;51,91;58,21;88,34;;;;;;;;;;;;;62,04;58,74;76,48
K8500021;8500021;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;138;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;1310;18;72,78;3;Ada;Ada;0;1;44;185;100;7,63;66,32;43,84;59,19;62,23;55,40;63,87;59,35;59,05;49,71;55,03;59,93;61,76;51,81;62,23;56,61;75,03;54,53;65,70;57,16;72,17;58,21;53,77;47,86;83,94;43,42;47,21;72,87;52,87;62,88;85,56;53,88;62,88;57,17;50,24;55,33;48,24;49,51;53,18;57,28;;;;;;;;;;;;;62,33;63,14;57,09
K8500001;8500001;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;165;Indonesia Tengah;KOTA;RURAL;100,00;0,00;744;13;57,23;13;Ada;Ada;8;1;31;135;46;6,18;75,29;67,41;69,21;51,61;52,57;78,85;36,79;63,07;57,79;92,20;82,71;45,84;62,43;58,44;46,48;45,87;83,91;58,60;97,54;100,00;66,87;63,68;89,28;87,53;96,65;74,17;92,75;93,41;64,13;85,71;52,38;64,13;71,42;73,45;100,00;50,25;58,33;53,18;88,34;;;;;;;;;;;;;72,85;58,74;56,46
K8500039;8500039;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;433;Indonesia Tengah;KABUPATEN;RURAL;95,12;0,00;1949;41;47,54;51;Ada;Ada;4;1;84;251;123;6,31;81,60;40,06;51,67;47,96;64,37;63,87;64,62;54,77;53,94;48,09;78,39;71,73;51,81;46,54;56,61;59,63;72,50;57,85;57,16;72,17;45,06;64,54;47,86;63,81;54,48;61,88;57,41;55,09;47,64;68,85;49,00;47,64;57,17;61,48;47,73;53,06;61,00;53,18;69,62;;;;;;;;;;;;;67,47;32,02;62,48
K8500042;8500042;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;351;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;997;4;249,25;28;Ada;Ada;0;2;48;140;113;11,33;45,34;47,72;65,39;53,11;51,33;66,10;59,70;73,24;53,37;64,30;78,64;92,59;37,75;46,97;58,32;79,00;81,64;59,25;81,03;;65,24;67,97;53,61;74,25;97,99;41,43;98,07;67,58;60,15;79,59;52,13;60,15;61,09;72,72;75,55;57,17;84,33;63,86;88,68;;;;;;;;;;;;;57,39;58,74;69,30
K8500075;8500075;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;488;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;171;1;171,00;5;Tidak Ada;Ada;1;0;12;23;22;12,87;68,36;52,28;69,21;58,37;38,29;56,34;53,47;59,68;49,23;92,20;61,01;30,28;34,48;47,19;46,48;39,55;76,88;77,57;74,68;100,00;11,72;94,19;89,28;99,02;100,00;46,80;92,75;74,34;59,82;96,29;81,91;59,82;50,04;43,57;100,00;55,57;71,33;34,70;39,06;;;;;;;;;;;;;62,04;58,74;51,89
K8500031;8500031;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;321;Indonesia Tengah;KOTA;URBAN;100,00;0,00;139;33;4,21;13;Ada;Ada;4;0;12;16;3;2,16;82,82;47,91;59,19;62,23;48,26;67,21;50,13;66,64;58,75;55,03;59,93;61,76;59,62;51,52;56,61;75,03;72,50;65,70;73,67;72,17;65,44;75,69;56,57;57,46;79,21;53,93;79,15;66,04;68,77;93,27;59,70;68,77;76,85;55,70;52,04;63,69;68,03;83,57;69,62;;;;;;;;;;;;;62,33;39,37;52,51
K8500028;8500028;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;352;Indonesia Tengah;KABUPATEN;URBAN;100,00;0,00;177;7;25,29;10;Ada;Ada;1;0;10;52;17;9,60;81,90;40,45;58,83;73,71;61,46;74,49;54,08;68,78;62,79;92,20;78,64;56,27;55,99;58,98;55,54;64,42;81,64;69,53;99,24;100,00;69,93;81,60;79,10;63,00;63,79;62,09;85,43;67,58;49,71;98,86;57,95;49,71;57,88;61,16;83,86;47,24;55,03;63,86;88,68;;;;;;;;;;;;;65,22;58,74;69,30
K8500030;8500030;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;369;Indonesia Tengah;KABUPATEN;URBAN;100,00;15,38;679;13;52,23;15;Ada;Ada;2;1;24;73;63;9,28;79,04;47,72;58,83;58,37;52,57;51,80;54,08;53,35;53,37;48,35;42,81;50,69;43,38;46,97;46,06;46,28;54,06;62,52;58,17;78,37;55,05;53,38;53,61;53,06;48,87;46,80;59,50;49,27;59,90;61,22;52,13;59,90;54,94;55,94;49,53;51,96;49,96;52,87;59,57;;;;;;;;;;;;;61,35;33,18;59,07
K8500003;8500003;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;080;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;118;2;59,00;8;Ada;Ada;1;0;13;22;11;9,32;77,31;61,01;47,73;58,37;27,82;74,49;32,75;73,24;28,37;71,40;78,64;56,27;55,99;42,32;29,21;40,67;89,22;62,52;81,03;100,00;58,00;63,68;72,96;74,25;26,24;53,41;98,07;99,49;65,78;98,86;79,91;65,78;52,18;51,30;62,23;75,93;55,03;63,86;88,68;;;;;;;;;;;;;83,27;58,74;43,90
K8500002;8500002;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;199;Indonesia Tengah;KABUPATEN;URBAN;100,00;5,56;330;18;18,33;6;Ada;Ada;7;2;18;35;14;4,24;83,81;52,28;87,23;54,72;48,26;57,28;50,13;54,77;58,75;61,70;78,39;71,73;51,81;62,23;100,00;59,63;72,50;65,70;89,08;72,17;61,57;57,10;56,57;95,19;43,42;47,21;67,39;57,49;57,66;34,84;36,05;57,66;54,32;50,24;60,58;46,04;54,76;71,77;69,62;;;;;;;;;;;;;58,27;46,28;57,09
K8500057;8500057;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Ya;003;Indonesia Tengah;KABUPATEN;RURAL;75,00;0,00;204;4;51,00;9;Ada;Ada;0;1;10;71;69;33,82;66,35;47,91;59,19;62,23;48,26;79,45;36,00;50,58;53,94;55,03;78,39;71,73;51,81;62,23;56,61;38,33;72,50;75,61;70,19;72,17;61,57;69,30;87,49;95,19;62,87;32,95;100,00;88,20;57,66;85,56;65,39;57,66;67,23;41,29;68,42;53,06;45,15;34,70;45,28;;;;;;;;;;;;;58,27;32,02;47,94
K8500056;8500056;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Ya;003;Indonesia Tengah;KABUPATEN;RURAL;0,00;0,00;145;0;0,00;3;Ada;Ada;2;1;11;23;12;8,28;70,84;52,28;87,23;41,52;48,26;54,02;45,65;69,85;58,75;55,03;78,39;61,76;51,81;56,71;40,30;67,07;77,19;71,87;82,13;72,17;70,13;75,69;70,16;83,94;43,42;53,93;88,00;69,80;52,69;85,56;65,39;52,69;57,17;50,24;49,69;58,17;61,00;48,36;69,62;;;;;;;;;;;;;62,33;46,28;83,12
K8500058;8500058;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;123;Indonesia Tengah;KABUPATEN;URBAN;100,00;0,00;226;22;10,27;8;Ada;Ada;5;1;10;21;9;3,98;82,94;61,88;57,64;65,56;86,13;97,00;53,47;71,54;100,00;80,16;100,00;90,21;83,48;58,44;99,04;67,18;94,45;72,99;97,54;100,00;86,44;67,97;89,28;79,30;77,12;89,98;92,75;93,41;47,72;85,71;63,77;47,72;75,51;100,00;69,83;67,50;64,74;100,00;88,34;;;;;;;;;;;;;72,85;58,74;59,87
K8500055;8500055;SMA/SMK/MA;Paket C;S;Kurikulum 2013;Tidak;111;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;471;6;78,50;1;Ada;Ada;1;0;25;57;33;7,01;75,80;56,94;40,57;58,37;23,75;70,29;53,47;77,52;49,23;92,20;69,08;45,84;55,63;47,19;83,16;52,80;61,56;61,03;86,62;;46,08;50,14;71,95;87,53;41,66;41,43;57,41;56,72;;71,57;47,18;;37,93;36,81;81,27;45,54;64,74;64,07;88,34;;;;;;;;;;;;;86,59;58,74;76,48
K8500065;8500065;SMA/SMK/MA;Paket C;S;Kurikulum Merdeka;Tidak;019;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;60;1;60,00;9;Tidak Ada;Ada;1;0;5;13;25;41,67;72,80;43,84;63,37;45,06;34,97;56,34;32,66;59,68;62,79;64,30;69,08;64,32;49,64;49,03;56,93;34,05;68,36;53,74;79,51;100,00;59,43;67,97;49,65;66,99;48,37;41,43;81,56;59,28;59,82;58,80;63,77;59,82;64,65;55,94;56,58;55,57;41,94;58,21;59,91;;;;;;;;;;;;;62,04;47,09;54,04
K8500064;8500064;SMA/SMK/MA;Paket C;N;Kurikulum Merdeka;Tidak;019;Indonesia Barat;KABUPATEN;RURAL;100,00;0,00;197;22;8,95;6;Tidak Ada;Ada;2;2;11;16;33;16,75;74,89;36,86;37,59;54,72;64,37;67,21;50,13;60,39;82,02;86,31;78,39;89,94;34,30;71,97;70,04;44,85;94,69;65,70;89,08;72,17;76,04;85,70;87,49;95,19;91,03;71,38;100,00;74,34;53,11;74,37;65,39;53,11;84,68;67,43;60,82;65,50;70,26;58,21;57,28;;;;;;;;;;;;;74,61;63,14;83,12
