kd_kepsek_an;kd_sekolah;pendidikan_sederajat;jenis_sek;sts_sek;kurikulum;daerah_khusus;kd_kokab;wilayah_bagian;jenis_wilayah;status_wilayah;proporsi_pendidik_min_s1;proporsi_pendidik_sertifikasi;jumlah_peserta_didik;jumlah_pendidik;rasio_pendidik_peserta_didik;jumlah_r_kelas;ketersediaan_internet;ketersediaan_listrik;jumlah_komp_milik;jumlah_perpus;jumlah_rombel;jumlah_siswa_rombel;jumlah_siswa_penerima_PIP;rasio_siswa_penerima_PIP;SES_sekolah;APC;APK;BBS;BCP;COP;CSV;ENP;EQC;EQR;HWS;KKG;KPC;KPK;KSA;KSV;LCS;LFO;MIP;NAT;OPC;PBU;PCP;PGP;PIP;PKG;PMU;POT;PPK;PSA;PSV;PPC;RC;RKG;RPI;RSD;SBU;SCO;SKG;SMK_GRMAG;SMK_GTIN;SMK_INDS;SMK_KLAB;SMK_KOMITE;SMK_KPL;SMK_PBEL;SMK_PIM;SMK_PKL;SMK_PKUR;SMK-SARPRAS;SMK_TEFA;SSV;TOC;TOR
K5100067;5100067;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;468;Indonesia Tengah;KABUPATEN;URBAN;100,00;38,89;581;36;16,14;21;Ada;Ada;11;1;18;194;127;21,86;73,25;67,41;87,23;62,23;100,00;74,66;70,68;63,87;96,06;86,31;99,17;100,00;59,62;75,32;100,00;67,07;77,19;100,00;100,00;72,17;98,47;100,00;60,84;95,19;91,03;100,00;100,00;100,00;76,06;100,00;83,04;76,06;96,62;93,97;97,96;53,06;100,00;64,07;100,00;;;;;;;;;;;;;91,78;100,00;54,76
K5100066;5100066;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;262;Indonesia Tengah;KABUPATEN;RURAL;100,00;50,91;987;55;17,95;33;Ada;Ada;2;1;29;352;80;8,11;86,21;51,89;58,83;45,06;46,35;58,82;44,69;53,35;57,79;48,35;42,81;63,49;49,09;46,97;55,54;64,42;54,06;65,89;61,47;69,02;65,24;67,97;53,61;68,62;97,99;53,41;64,41;55,86;54,60;66,96;52,13;54,60;61,09;51,30;48,04;51,96;49,96;63,86;59,57;;;;;;;;;;;;;61,35;40,18;59,07
K6100044;6100044;SMA/SMK/MA;MA;S;;Tidak;438;Indonesia Tengah;KABUPATEN;URBAN;;;;;;;;;;;;;;;69,11;47,91;51,67;47,96;42,11;50,68;45,65;63,87;58,75;45,67;49,38;54,80;59,62;68,18;56,61;52,19;54,53;52,99;70,19;64,57;55,25;75,41;43,20;57,46;70,33;41,63;62,40;48,42;33,06;68,85;29,35;33,06;57,17;50,49;40,67;40,72;54,76;64,07;100,00;;;;;;;;;;;;;52,20;46,28;
K5100069;5100069;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;090;Indonesia Tengah;KABUPATEN;URBAN;100,00;18,75;145;16;9,06;9;Ada;Ada;2;2;6;43;54;37,24;74,12;52,28;87,23;71,14;80,65;70,72;59,35;63,87;82,02;75,91;99,17;85,18;59,62;62,23;100,00;99,90;84,14;57,85;89,08;72,17;70,13;100,00;87,49;83,94;91,03;71,38;67,39;57,49;85,92;79,74;76,78;85,92;54,32;82,41;60,58;76,53;100,00;71,77;85,70;;;;;;;;;;;;;82,83;100,00;66,16
K5100072;5100072;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;090;Indonesia Tengah;KABUPATEN;RURAL;92,86;0,00;57;14;4,07;5;Ada;Ada;3;1;3;13;7;12,28;75,48;58,00;58,59;53,54;45,43;55,31;54,08;68,78;62,79;64,30;42,81;63,49;55,99;52,49;55,54;64,42;58,52;59,25;76,12;90,11;58,00;73,40;58,12;57,78;63,79;74,17;69,73;87,43;49,71;66,96;52,13;49,71;54,94;61,16;55,56;47,24;49,96;63,86;59,57;;;;;;;;;;;;;47,90;40,18;69,30
K5100061;5100061;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;090;Indonesia Tengah;KABUPATEN;RURAL;100,00;18,75;242;16;15,13;7;Ada;Ada;4;1;9;93;109;45,04;66,84;61,88;46,78;65,56;34,97;52,48;53,47;59,68;62,79;64,30;82,71;75,39;49,64;64,83;69,83;75,13;76,88;66,36;74,68;90,22;53,62;60,06;49,65;66,99;77,12;62,09;73,67;62,10;55,68;85,71;39,49;55,68;64,65;61,16;63,56;55,57;51,91;53,18;59,91;;;;;;;;;;;;;62,04;33,18;76,48
K5100065;5100065;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;090;Indonesia Tengah;KABUPATEN;RURAL;100,00;12,50;119;16;7,44;6;Ada;Ada;4;1;5;52;26;21,85;61,92;47,91;59,19;62,23;36,88;68,15;50,13;61,37;71,73;68,37;59,93;49,22;51,81;68,18;70,04;59,63;84,14;62,99;82,13;72,17;65,44;64,54;60,84;63,81;91,03;41,63;79,15;52,87;52,69;79,74;59,70;52,69;63,49;61,48;55,33;53,06;54,76;58,21;69,62;;;;;;;;;;;;;52,20;39,37;62,48
K5100068;5100068;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;138;Indonesia Tengah;KABUPATEN;URBAN;100,00;50,00;1237;60;20,62;33;Ada;Ada;23;1;35;429;97;7,84;78,65;56,35;58,59;47,75;34,97;74,49;66,37;58,79;62,79;64,30;66,25;92,59;64,88;78,90;80,60;53,52;76,17;69,53;81,03;90,11;65,24;67,97;62,86;80,44;83,65;62,09;69,73;67,58;59,90;98,86;57,95;59,90;61,09;55,94;75,55;58,17;60,91;58,01;74,47;;;;;;;;;;;;;70,06;47,09;53,59
K5100070;5100070;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;138;Indonesia Tengah;KABUPATEN;RURAL;100,00;11,11;73;9;8,11;3;Ada;Ada;3;1;3;29;16;21,92;74,03;36,57;51,91;51,61;52,57;52,48;44,69;56,56;49,23;48,35;46,63;64,32;49,64;47,19;46,48;52,80;54,30;58,60;63,67;90,22;62,90;60,06;58,35;49,06;62,70;46,80;57,41;74,34;55,68;58,80;52,38;55,68;56,63;55,94;38,17;37,61;51,91;64,07;59,91;;;;;;;;;;;;;62,04;40,18;65,80
K6100048;6100048;SMA/SMK/MA;MA;S;;Tidak;138;Indonesia Tengah;KABUPATEN;URBAN;;;;;;;;;;;;;;;80,38;43,94;38,66;51,61;52,57;53,94;49,17;46,30;62,79;45,67;42,81;56,27;37,75;52,49;55,54;64,42;43,59;41,31;55,04;78,37;49,75;50,05;53,61;57,78;56,16;36,88;45,01;36,53;64,79;56,08;46,75;64,79;49,51;58,39;47,96;;55,03;52,87;59,57;;;;;;;;;;;;;47,90;33,18;60,14
